Id,Nome,Posições,Nacionalidade,Idade,Overral,Potential,Time,Time(Bandeira),Tempo de Contrato,Valor,Salário,Status totais
252371,J. Bellingham,"CAM, CM",https://cdn.sofifa.net/flags/gb-eng.png,20,87,91,Real Madrid,https://cdn.sofifa.net/meta/team/3468/30.png,2023 ~ 2029,€112M,€190K,2264
269859,A. Vermeeren,"CDM, CM",https://cdn.sofifa.net/flags/be.png,18,74,87,Antwerp,https://cdn.sofifa.net/meta/team/328/30.png,2022 ~ 2026,€9.5M,€7K,1880
272978,J. Hato,"CB, LB",https://cdn.sofifa.net/flags/nl.png,17,70,87,Ajax,https://cdn.sofifa.net/meta/team/629/30.png,2022 ~ 2025,€3.7M,€500,1744
245367,X. Simons,"CAM, LW, RW",https://cdn.sofifa.net/flags/nl.png,20,80,89,RB Leipzig,https://cdn.sofifa.net/meta/team/277/30.png,"Jun 30, 2024 On loan",€46.5M,€61K,2106
259399,R. Højlund,ST,https://cdn.sofifa.net/flags/dk.png,20,76,89,Manchester United,https://cdn.sofifa.net/meta/team/14/30.png,2023 ~ 2028,€18M,€72K,1833
268421,M. Tel,"ST, LM, RM",https://cdn.sofifa.net/flags/fr.png,18,72,88,FC Bayern München,https://cdn.sofifa.net/meta/team/503/30.png,2022 ~ 2027,€6M,€15K,1780
264309,A. Güler,"CAM, CM, RW",https://cdn.sofifa.net/flags/tr.png,18,77,88,Real Madrid,https://cdn.sofifa.net/meta/team/3468/30.png,2023 ~ 2029,€22M,€41K,1960
244675,Sancet,"CAM, CM, ST",https://cdn.sofifa.net/flags/es.png,23,81,87,Athletic Club,https://cdn.sofifa.net/meta/team/13258/30.png,2017 ~ 2032,€40.5M,€31K,2105
247635,K. Kvaratskhelia,"LW, RW",https://cdn.sofifa.net/flags/ge.png,22,86,92,Napoli,https://cdn.sofifa.net/meta/team/597/30.png,2022 ~ 2027,€109M,€95K,2067
259608,E. Ferguson,ST,https://cdn.sofifa.net/flags/ie.png,18,74,86,Brighton & Hove Albion,https://cdn.sofifa.net/meta/team/78/30.png,2021 ~ 2028,€10M,€26K,1705
258729,Gabri Veiga,"CM, CAM",https://cdn.sofifa.net/flags/es.png,21,78,89,Al Ahli Jeddah,https://cdn.sofifa.net/meta/team/9908/30.png,2023 ~ 2026,€31.5M,€28K,1944
271574,R. Lewis,"RB, CDM",https://cdn.sofifa.net/flags/gb-eng.png,18,73,86,Manchester City,https://cdn.sofifa.net/meta/team/9/30.png,2022 ~ 2028,€7M,€20K,1786
270673,W. Zaïre-Emery,"CM, CDM",https://cdn.sofifa.net/flags/fr.png,17,75,88,Paris Saint Germain,https://cdn.sofifa.net/meta/team/591/30.png,2022 ~ 2025,€13M,€8K,2016
260823,N. Fagioli,"CM, CDM",https://cdn.sofifa.net/flags/it.png,22,77,87,Juventus,https://cdn.sofifa.net/meta/team/625/30.png,2019 ~ 2026,€23.5M,€73K,2075
235790,K. Havertz,"CAM, RW, ST",https://cdn.sofifa.net/flags/de.png,24,82,87,Arsenal,https://cdn.sofifa.net/meta/team/19/30.png,2023 ~ 2028,€46M,€110K,2044
237086,Kim Min Jae,CB,https://cdn.sofifa.net/flags/kr.png,26,84,86,FC Bayern München,https://cdn.sofifa.net/meta/team/503/30.png,2023 ~ 2028,€46M,€82K,1814
256516,Nico Williams,"RM, LM",https://cdn.sofifa.net/flags/es.png,20,80,86,Athletic Club,https://cdn.sofifa.net/meta/team/13258/30.png,2020 ~ 2024,€33M,€25K,1980
